,Company,Location,Global Company Size,Industry,Salaries,Jobs,Rating,Reviews
101,AT&T,25 office locations,10000+ Employees,Telecommunications Services,136Salaries,2.7TJobs,3.7★,36.4TReviews
102,Jio,25 office locations,5001 to 10000 Employees,"Cable, Internet & Telephone Providers",2.1TSalaries,16TJobs,3.8★,4.8TReviews
103,Huawei Technologies,28 office locations,10000+ Employees,Telecommunications Services,765Salaries,10Jobs,3.8★,12TReviews
104,Flipkart,10 office locations,10000+ Employees,Internet & Web Services,2.2TSalaries,159Jobs,4.2★,4.4TReviews
105,Fiserv,14 office locations,10000+ Employees,Financial Transaction Processing,789Salaries,587Jobs,3.7★,7.6TReviews
106,NVIDIA,23 office locations,10000+ Employees,Computer Hardware Development,343Salaries,803Jobs,4.5★,4.6TReviews
107,Shell,30 office locations,10000+ Employees,Energy & Utilities,624Salaries,2.1TJobs,4.1★,11.7TReviews
108,TEKsystems,38 office locations,1001 to 5000 Employees,HR Consulting,593Salaries,1.8TJobs,4.4★,9.2TReviews
109,GlobalLogic,40 office locations,10000+ Employees,Information Technology Support Services,2.2TSalaries,986Jobs,4.1★,5.5TReviews
110,Mu Sigma,3 office locations,1001 to 5000 Employees,Business Consulting,793Salaries,--Jobs,3.5★,3.9TReviews
111,BT,33 office locations,10000+ Employees,Telecommunications Services,610Salaries,210Jobs,4.1★,8.1TReviews
112,EXL Service,33 office locations,10000+ Employees,Business Consulting,2.2TSalaries,3.3TJobs,3.7★,4.8TReviews
113,Ford Motor Company,26 office locations,10000+ Employees,Transportation Equipment Manufacturing,606Salaries,3.1TJobs,4.1★,11.4TReviews
114,WhiteHat Jr,"Headquarters in Mumbai, India",5001 to 10000 Employees,Education Support & Training Services,2.4TSalaries,3Jobs,3.8★,5.3TReviews
115,OYO,25 office locations,5001 to 10000 Employees,Hotels & Resorts,1.5TSalaries,22Jobs,3.5★,4.8TReviews
116,Standard Chartered Bank,"Headquarters in London, United Kingdom",10000+ Employees,Investment & Asset Management,981Salaries,7TJobs,3.9★,7.6TReviews
117,L&T Technology Services,25 office locations,10000+ Employees,Information Technology Support Services,2TSalaries,2.5TJobs,3.5★,4.7TReviews
118,HP Inc.,26 office locations,10000+ Employees,Computer Hardware Development,540Salaries,626Jobs,4.2★,8.1TReviews
119,Bharti Airtel,25 office locations,10000+ Employees,Telecommunications Services,1.6TSalaries,4TJobs,4.3★,5.1TReviews
120,Zoho,"4141 Hacienda Dr Pleasanton, California, 94588-8566, United States",201 to 500 Employees,Computer Hardware Development,804Salaries,14Jobs,4.5★,3.3TReviews
121,Nagarro,49 office locations,10000+ Employees,Information Technology Support Services,1.3TSalaries,75Jobs,4.2★,3.6TReviews
122,Novartis,31 office locations,10000+ Employees,Biotech & Pharmaceuticals,685Salaries,1.9TJobs,4.1★,8.3TReviews
123,Optum,8 office locations,501 to 1000 Employees,Healthcare Services & Hospitals,1.1TSalaries,6.6TJobs,3.7★,6.3TReviews
124,Anonymous Content,24 office locations,51 to 200 Employees,Film Production,955Salaries,3Jobs,3.9★,5TReviews
125,PayPal,18 office locations,10000+ Employees,Internet & Web Services,473Salaries,2TJobs,4.2★,7TReviews
126,Coforge,9 office locations,10000+ Employees,Enterprise Software & Network Solutions,1.1TSalaries,176Jobs,4.1★,5.1TReviews
127,Robert Bosch India,"Stuttgart, 01",10000+ Employees,Machinery Manufacturing,2.2TSalaries,1Jobs,4.1★,4.1TReviews
128,ABB,19 office locations,10000+ Employees,Electronics Manufacturing,582Salaries,3.7TJobs,4.1★,8TReviews
129,TaskUs,28 office locations,10000+ Employees,Information Technology Support Services,194Salaries,1TJobs,4.7★,12.8TReviews
130,PepsiCo,25 office locations,10000+ Employees,Food & Beverage Manufacturing,216Salaries,6.4TJobs,3.9★,16.9TReviews
131,Sopra Steria,26 office locations,10000+ Employees,Information Technology Support Services,915Salaries,1.5TJobs,3.8★,5.9TReviews
132,State Street,26 office locations,10000+ Employees,Investment & Asset Management,804Salaries,2.8TJobs,3.7★,8.4TReviews
133,S&P Global,25 office locations,10000+ Employees,Research & Development,708Salaries,2.4TJobs,4.1★,5.6TReviews
134,SelfEmployed.com,"Headquarters in Dublin, OH",1 to 50 Employees,N/A,474Salaries,--Jobs,4.4★,6.9TReviews
135,WNS,4 office locations,10000+ Employees,HR Consulting,1.7TSalaries,145Jobs,3.5★,4.5TReviews
136,Kotak Mahindra Bank,26 office locations,10000+ Employees,Banking & Lending,1.4TSalaries,5.5TJobs,3.7★,4.3TReviews
137,HARMAN,27 office locations,10000+ Employees,Consumer Product Manufacturing,1.1TSalaries,1.3TJobs,3.9★,4.4TReviews
138,Fujitsu,51 office locations,10000+ Employees,Enterprise Software & Network Solutions,151Salaries,3.9TJobs,3.7★,5.6TReviews
139,ITC Infotech,15 office locations,5001 to 10000 Employees,Information Technology Support Services,853Salaries,156Jobs,4.0★,4.1TReviews
140,Intuit,18 office locations,10000+ Employees,Software Development,365Salaries,4.4TJobs,4.5★,9TReviews
141,Aon,32 office locations,10000+ Employees,Insurance Agencies & Brokerages,449Salaries,2.4TJobs,3.9★,6.5TReviews
142,EPAM Systems,75 office locations,10000+ Employees,Information Technology Support Services,574Salaries,3.7TJobs,4.3★,6.8TReviews
143,Infosys BPM,4 office locations,10000+ Employees,HR Consulting,864Salaries,3.5TJobs,3.6★,4.5TReviews
144,Hinduja Global Solutions,20 office locations,10000+ Employees,Office Supply & Copy Stores,573Salaries,78Jobs,3.5★,4.2TReviews
145,Birlasoft,27 office locations,1001 to 5000 Employees,Enterprise Software & Network Solutions,1.1TSalaries,309Jobs,3.5★,2.7TReviews
146,KPIT Technologies,21 office locations,5001 to 10000 Employees,Information Technology Support Services,1.3TSalaries,145Jobs,3.7★,3.5TReviews
147,DONE by NONE,"New York, NY",1 to 50 Employees,Computer Hardware Development,1.3TSalaries,--Jobs,4.0★,3.6TReviews
148,Boeing,25 office locations,10000+ Employees,Aerospace & Defence,260Salaries,2.4TJobs,3.8★,14TReviews
149,Conduent,24 office locations,10000+ Employees,Information Technology Support Services,622Salaries,1.1TJobs,3.1★,7.6TReviews
150,Marriott International,37 office locations,10000+ Employees,Hotels & Resorts,167Salaries,38.1TJobs,4.0★,15.3TReviews
151,Nielsen,47 office locations,10000+ Employees,Enterprise Software & Network Solutions,381Salaries,581Jobs,3.8★,8.3TReviews
152,Nestlé,35 office locations,10000+ Employees,Food & Beverage Manufacturing,222Salaries,1.4TJobs,4.1★,12.3TReviews
153,Cyient,18 office locations,10000+ Employees,Information Technology Support Services,603Salaries,764Jobs,3.5★,2.9TReviews
154,Paytm,5 office locations,10000+ Employees,Internet & Web Services,2.1TSalaries,198Jobs,3.7★,3.4TReviews
155,Meta,21 office locations,10000+ Employees,Internet & Web Services,189Salaries,1.1TJobs,4.2★,12.2TReviews
156,Self Opportunity,4 office locations,51 to 200 Employees,Advertising & Public Relations,717Salaries,--Jobs,4.3★,4.6TReviews
157,Johnson & Johnson,25 office locations,10000+ Employees,Biotech & Pharmaceuticals,277Salaries,3.1TJobs,4.2★,13.5TReviews
158,Randstad,26 office locations,501 to 1000 Employees,HR Consulting,297Salaries,1.6LJobs,3.9★,7.7TReviews
159,JLL,36 office locations,10000+ Employees,Real Estate,401Salaries,4.5TJobs,3.9★,8.1TReviews
160,CBRE,25 office locations,10000+ Employees,Real Estate,415Salaries,5.1TJobs,3.9★,9.4TReviews
161,Boston Consulting Group,86 office locations,10000+ Employees,Business Consulting,743Salaries,3.9TJobs,4.2★,6.7TReviews
162,Cognizant,"Headquarters in New Delhi, India",1 to 50 Employees,N/A,1.9TSalaries,--Jobs,3.8★,3.6TReviews
163,Schlumberger,37 office locations,10000+ Employees,Energy & Utilities,232Salaries,524Jobs,3.9★,10.5TReviews
164,Tesco,2 office locations,10000+ Employees,Grocery Stores,209Salaries,3.4TJobs,3.7★,21.5TReviews
165,Collabera,34 office locations,10000+ Employees,Information Technology Support Services,447Salaries,86Jobs,3.7★,4TReviews
