,Company,Sector,Headquater,Types,Rating,Reviews
78,Indian Oil Corpo...,None,"Delhi/NCR,Delhi + 185 more",Power,4.3,2.1k Reviews
79,Grass Roots Rese...,None,51-200 Employees (India),Management Consulting,5.0,217 Reviews
80,Safexpress,None,"Delhi/NCR,Delhi + 111 more",Logistics / Shipping,4.2,1.1k Reviews
81,Genpact,Public,"New York,New York + 66 more",IT Services & Consulting,4.0,21k Reviews
82,Shoppers Stop,Public,"Mumbai,Maharashtra + 56 more",Retail,4.3,2k Reviews
83,IIFL,Public,"Mumbai,Maharashtra + 483 more",Financial Services,3.9,3.6k Reviews
84,Ahluwalia Contra...,Public,"Delhi/NCR,New Delhi + 31 more",Engineering & Construction,3.8,516 Reviews
85,Hyatt Regency,None,"New Delhi,Delhi + 37 more",Travel & Tourism / Hospitality,4.3,1.1k Reviews
86,KEI Industries,Public,"Delhi/NCR,Delhi + 61 more",Manufacturing,4.1,576 Reviews
87,FIITJEE,None,"Delhi,NCT + 42 more",Education & Training,3.7,426 Reviews
88,Okaya Power,None,"Delhi/NCR,Delhi + 57 more",Consumer goods,3.7,329 Reviews
89,Randstad,None,"Chennai,Tamil Nadu + 203 more",Recruitment,4.1,2.1k Reviews
90,Aditya Birla Fas...,None,Mumbai + 197 more,Fashion & Textile,4.2,3.3k Reviews
91,Abbott Healthcar...,Public,"Illinois City,Illinois + 146 more",Healthcare / Pharma,4.1,4.3k Reviews
92,Godfrey Phillips...,Public,"Delhi/NCR,New Delhi + 67 more",FMCG,4.2,524 Reviews
93,Muthoot Finance,Public,"Kochi/Cochin,Kerala + 412 more",NBFC,3.6,2.2k Reviews
94,Renovision Autom...,None,New Delhi + 57 more,Recruitment,3.6,388 Reviews
95,Udaan,None,"Bangalore,Karnataka + 304 more",Consumer goods,4.1,4.3k Reviews
96,Max Life Insuran...,None,"Gurgaon/Gurugram,Haryana + 295 more",Consumer goods,4.2,3.2k Reviews
97,Future Group,None,"Mumbai,Maharashtra + 196 more",FMCG,4.2,10.3k Reviews
98,OM Logistics,None,"Delhi/NCR,Delhi + 85 more",Financial Services,4.1,621 Reviews
99,I Process Servic...,None,"Mumbai,Maharashtra + 219 more",Recruitment,4.0,1.5k Reviews
100,Centum Learning,None,"Delhi/NCR,New Delhi + 65 more",Education & Training,3.8,409 Reviews
101,Pidilite Industr...,Public,"Mumbai,Maharashtra + 179 more",Consumer goods,4.3,2.1k Reviews
102,Gati kwe,None,"Hyderabad/Secunderabad,Telangana + 144 more",Logistics / Shipping,4.2,2k Reviews
103,Fena,None,"Delhi/NCR,Delhi + 53 more",FMCG,4.2,315 Reviews
104,Sysnet Global Te...,None,"Delhi/NCR,Delhi + 93 more",IT Services & Consulting,3.7,802 Reviews
105,Reliance Communi...,Public,"Navi Mumbai,Maharashtra + 368 more",Telecom,4.0,4.1k Reviews
106,Reliance Industr...,Public,"Navi Mumbai,Maharashtra + 482 more",Manufacturing,4.1,43.8k Reviews
107,RBL Bank,Public,"Mumbai,Maharashtra + 179 more",Banking,3.8,1.7k Reviews
108,AIIMS,None,66 years old,Education & Training,4.1,449 Reviews
109,Weblink In,None,"New Delhi,Delhi + 4 more",Internet,4.0,189 Reviews
110,Axis Direct,None,"San Mateo,California + 265 more",Financial Services,4.0,2.4k Reviews
