,Company,Sector,Headquater,Types,Rating,Reviews
174,PC Solutions,None,"Delhi/NCR,Delhi + 12 more",IT Services & Consulting,3.8,229 Reviews
175,Intelenet Global...,None,"Mumbai,Maharashtra + 56 more",BPO,3.7,3.3k Reviews
176,Alankit,Public,"Delhi/NCR,New Delhi + 30 more",Financial Services,2.9,244 Reviews
177,ACT Fibernet,None,"Bengaluru/Bangalore,Karnataka + 33 more",Internet,4.1,1.4k Reviews
178,J. Kumar Infrapr...,Public,"Mumbai,Maharashtra + 23 more",Real Estate,4.1,880 Reviews
179,Ernst & Young,None,London + 72 more,Consulting,3.8,6.2k Reviews
180,Azure Power,None,"Delhi,NCT + 14 more",Internet,3.9,173 Reviews
181,Accenture,Public,Dublin + 141 more,IT Services & Consulting,4.1,32.3k Reviews
182,Extramarks Educa...,None,"Noida,Uttar Pradesh + 90 more",Internet,3.8,1.4k Reviews
183,Taj Hotels Resor...,None,119 years old,Travel & Tourism / Hospitality,4.3,1.1k Reviews
184,ICICI Securities,Public,"Mumbai,Maharashtra + 102 more",Financial Services,3.7,1.2k Reviews
185,TOPS,None,"Delhi,NCT + 28 more",Food Processing,3.9,219 Reviews
186,Caretel Infotech,None,"Delhi/NCR,New Delhi + 8 more",Analytics & KPO,3.6,209 Reviews
187,AU Small Finance...,None,"Jaipur,Rajasthan + 286 more",Banking,4.0,4.3k Reviews
188,Deloitte,None,"New York,New York + 134 more",Consulting,4.1,10.3k Reviews
189,Samsung,Public,Seoul + 352 more,Consumer goods,4.0,7.6k Reviews
190,Tata AIA Life In...,None,"Mumbai,Maharashtra + 205 more",Financial Services,4.0,1.8k Reviews
191,Vivo,None,"Gurgaon/Gurugram,Haryana + 329 more",Consumer goods,4.1,3.5k Reviews
192,Varun Beverages,Public,"Gurgaon/Gurugram,Haryana + 194 more",Food Processing,4.0,2.1k Reviews
193,Ujjivan Small Fi...,Public,"Bangalore/Bengaluru,Karnataka + 381 more",Financial Services,4.1,3.8k Reviews
194,PNB MetLife,None,"Mumbai,Maharashtra + 241 more",Financial Services,3.7,1.7k Reviews
195,SMC Global Secur...,Public,SMC Global Securities Ltd. + 47 more,Financial Services,3.6,310 Reviews
196,Glaze Trading In...,None,"Delhi/NCR,Delhi + 73 more",FMCG,4.0,352 Reviews
197,Eureka Forbes,None,"Mumbai,Maharashtra + 146 more",Consumer goods,4.0,1.6k Reviews
198,Aimil Pharmaceut...,None,"Delhi/NCR,New Delhi + 31 more",Industrial Machinery,3.6,249 Reviews
199,Mahindra & Mahin...,Public,"Mumbai,Maharashtra + 408 more",Automobile,3.9,39.6k Reviews
200,Punjab National ...,None,"Delhi/NCR,Delhi + 128 more",Financial Services,4.0,583 Reviews
201,Tata Play,Public,"Mumbai,Maharashtra + 161 more",Media & Entertainment / Publishing,4.2,1.1k Reviews
202,Fortis Healthcar...,Public,"Gurgaon/Gurugram,Haryana + 48 more",Healthcare,4.1,2.1k Reviews
203,Central Public W...,None,"Delhi/NCR,New Delhi + 90 more",Architecture & Interior Design,4.1,404 Reviews
204,Ekart Logistics,None,"San Francisco,California + 391 more",Internet,4.2,1.8k Reviews
205,DCM Shriram,Public,"Delhi/NCR,New Delhi + 60 more",Chemicals / Agri Inputs,4.2,718 Reviews
206,SEED CSR,None,New Delhi + 6 more,Non-Profit,4.7,112 Reviews
207,Sterlite Power T...,None,12 years old,Power,4.0,349 Reviews
208,Competent Softwa...,None,"Delhi/NCR,New Delhi + 6 more",IT Services & Consulting,3.9,320 Reviews
209,SBI Cards & Paym...,None,"Gurgaon/Gurugram,Haryana + 244 more",Financial Services,3.8,2.6k Reviews
210,NTPC,None,"Delhi/NCR,Delhi + 84 more",Power,4.1,1.5k Reviews
211,KFC,None,"Louisville,Kentucky + 117 more",Retail,4.2,932 Reviews
212,Wipro Infotech,None,Bangalore + 114 more,IT Services & Consulting,4.0,2.4k Reviews
213,Mahindra Holiday...,None,"Chennai,Tamil Nadu + 86 more",Travel & Tourism / Hospitality,3.7,1.4k Reviews
214,SBI Life Insuran...,None,"Mumbai,Maharashtra + 423 more",Financial Services,3.8,2.3k Reviews
215,Delhivery,None,"Delhi,NCT + 465 more",Internet,4.2,3.7k Reviews
216,Entab Infotech,None,"Delhi/NCR,New Delhi + 8 more",Education & Training,2.8,133 Reviews
217,Ecom Express,None,"Gurgaon,Haryana + 481 more",Internet,4.2,2.3k Reviews
218,Paras Dairy,Public,"Delhi/NCR,Delhi + 42 more",FMCG,3.7,366 Reviews
219,DHL Express,None,Bonn + 74 more,Facility Management Services,4.2,2.1k Reviews
220,Hyundai Motor,None,Seoul + 226 more,Automobile,4.2,4k Reviews
221,Burger King,None,Miami + 56 more,Retail,3.9,685 Reviews
222,Hindustan Unilev...,Public,"Mumbai,Maharashtra + 353 more",FMCG,4.3,4.5k Reviews
223,Win Medicare,None,"Delhi/NCR,Delhi + 42 more",Manufacturing,4.1,245 Reviews
224,Aircel,None,"Gurgaon/Gurugram,Haryana + 114 more",Telecom,4.4,1.1k Reviews
225,Delhi Internatio...,None,16 years old,Aviation,4.1,116 Reviews
226,B. G. Shirke Con...,None,"Pune,Maharashtra + 22 more",Engineering & Construction,4.2,515 Reviews
227,Blinkit,None,"Gurgaon,Haryana + 51 more",Internet,3.8,1.2k Reviews
228,Jindal Stainless,Public,"Delhi/NCR,New Delhi + 42 more",Iron & Steel,4.2,1.1k Reviews
229,American Express,None,"New York City,New York + 35 more",Financial Services,4.4,2k Reviews
230,Excitel Broadban...,None,"Delhi,NCT + 20 more",Telecom,3.7,198 Reviews
231,XpressBees,None,"Pune,Maharashtra + 172 more",Internet,4.0,1.2k Reviews
232,Metro,None,"Bangalore/Bengaluru,Karnataka + 54 more",Consumer goods,4.2,1.1k Reviews
233,Tata Capital Fin...,Public,Mumbai + 123 more,Financial Services,4.2,1.2k Reviews
234,TCNS Clothing Co...,Public,"Delhi/NCR,Delhi + 66 more",Retail,4.3,441 Reviews
235,Nagarjuna Constr...,Public,"Hyderabad/Secunderabad,Telangana + 183 more",Engineering & Construction,4.1,2.5k Reviews
236,BPTP,None,"Gurgaon/Gurugram,Haryana + 4 more",Real Estate,4.2,231 Reviews
237,Bajaj Capital,Public,"Delhi/NCR,New Delhi + 121 more",Financial Services,3.8,1.1k Reviews
238,University of De...,Public,"Delhi/NCR,New Delhi + 3 more",Education & Training,4.1,202 Reviews
239,Spicejet,Public,"Gurgaon/Gurugram,Haryana + 50 more",Airlines / Aviation / Aerospace,3.6,816 Reviews
240,NDTV,None,"Delhi/NCR,New Delhi + 4 more",Media & Entertainment / Publishing,3.7,117 Reviews
241,Shriram Pistons ...,Public,"Delhi/NCR,Delhi + 37 more",Import & Export,4.2,744 Reviews
242,Angel One,None,5k-10k Employees (India),Financial Services,3.9,986 Reviews
243,Berger Paints,Public,"Kolkata,West Bengal + 182 more",Chemicals / Agri Inputs,3.8,1.8k Reviews
244,Ministry of Defe...,None,"Delhi/NCR,Delhi + 53 more",Defence & Aerospace,4.6,366 Reviews
245,Cargo Service Ce...,None,Mumbai + 7 more,Logistics / Shipping,3.6,155 Reviews
246,HT Media,Public,"Delhi/NCR,Delhi + 36 more",Media & Entertainment / Publishing,3.8,741 Reviews
247,BigBasket,None,"Bangalore,Karnataka + 80 more",Internet,4.1,2.4k Reviews
248,OPPO,Public,"Dongguan,Guangdong + 321 more",Manufacturing,4.0,3.9k Reviews
249,Border Security ...,None,"Delhi/NCR,New Delhi + 59 more",Defence & Aerospace,4.4,427 Reviews
250,Mahindra & Mahin...,Public,"Mumbai,Maharashtra + 554 more",Financial Services,4.3,5k Reviews
251,Hamdard,None,"Delhi/NCR,Delhi + 41 more",FMCG,4.1,218 Reviews
252,Moolchand Medcit...,None,"Delhi/NCR,New Delhi + 2 more",Healthcare,3.2,139 Reviews
253,Security and Int...,Public,"Delhi/NCR,Delhi + 129 more",Law Enforcement & Security,4.2,864 Reviews
254,Ninjacart,None,"Bangalore,Karnataka + 73 more",Internet,3.7,1.1k Reviews
255,Jindal Poly Film...,Public,"Delhi/NCR,Delhi + 5 more",Manufacturing,3.6,265 Reviews
256,Modi Mundi Pharm...,None,"Delhi/NCR,Delhi + 32 more",Manufacturing,3.8,184 Reviews
257,Patanjali Ayurve...,None,"Haridwar,Uttarakhand + 218 more",Beauty & Wellness,4.0,1.7k Reviews
258,Life Insurance C...,None,Mumbai + 357 more,Financial Services,4.3,1.5k Reviews
259,Intercontinental...,None,"Delhi/NCR,New Delhi + 40 more",Consulting,4.0,214 Reviews
260,MBL Infrastructu...,Public,"Delhi/NCR,Delhi + 15 more",Engineering & Construction,4.0,157 Reviews
261,S.S. Kothari Meh...,None,"Delhi/NCR,Delhi + 4 more",Accounting & Auditing,3.6,126 Reviews
262,1 India Family M...,None,"Gurgaon,Haryana + 50 more",Internet,3.9,271 Reviews
263,Webtel Electroso...,None,"Delhi/NCR,Delhi + 9 more",Recruitment,4.0,128 Reviews
264,LG Electronics,Public,"Seoul,Seoul + 186 more",Consumer goods,4.0,2.3k Reviews
265,Evelyn Learning ...,None,"Delhi/NCR,New Delhi + 8 more",Education & Training,3.9,282 Reviews
266,Lea Associates S...,None,"Delhi/NCR,Delhi + 84 more",Architecture & Interior Design,4.3,432 Reviews
